UniversalMessageId,Message,Day
TWITTER_8_1212585658914627584,"Biden says that he became popular at the pool because many of the black people in Wilmington, DE had never talked to a white person before.This raised by bullshit-o-meter, so I decided to look it up. In , Wilmington was % white, according to census records",2020-01-02
TWITTER_8_1212942726305591296,"The idea of a Biden nomination and the impossible task of energizing young voters around him fills me with anxiety. Most likely, Trump winsthis time in a census year. At best, Biden wins and is a placeholder for the next fascist while doing nothing real on climate or inequality.",2020-01-02
TWITTER_7_1213310447002230784,"is best chance at Texas in a generation, in a Census year. Who do you think will pull Democrats & get so many Republicans to flip? Warren? Biden? Think this through. Why are you trying to mess this up?",2020-01-04
TWITTER_4_1214196781262589952,"years ago VP Biden was the VP, you were not an elected official. Start a third party, see how successful you are. With the Census, your district maybe combined. Playing nice with your peers maybe a good idea?",2020-01-06
TWITTER_7_1214763794053914625,"He won't be. The democratic national committee will put up Biden of some similarly impotent opposition, re-electing Trump, losing them the downticket; not only House, also state legislatures in purple states. This will put map drawing under GOP control in a census year (again).",2020-01-08
TWITTER_2_1215067670405509120,": Warren and Biden fight over bankruptcy, again Census could make the nation bluer. States like Texas could become more liberal and gain representation, while California and New York remain liberal but lose representation.",2020-01-08
TWITTER_2_1215347629225398277,Biden versus Obama ..ukraine versus iran same thing..its the American citizens having the strongest nerve to tolerate a collosus of bullshut handed down without ethics or merit by D.C. the demonic census.,2020-01-09
TWITTER_2_1216224873111937024,Biden said he was the greatest politician he's ever known. Something like that in his funeral. Damn these people love killing brown people. Yes I know Middle Easterners are considered white in the census.,2020-01-12
TWITTER_8_1216795035506745351,"The new census data shows that of the richest counties in America are in the DC area, thanks to the Hunter Bidenish action going on in our Congressional families on both sides of the aisle.",2020-01-13
TWITTER_7_1217288924571164672,"The poverty line in , per the Census folk, was $4275. Biden was making that every month and a half. I mean, I get being ""poor"" but that ain't poor.",2020-01-14
TWITTER_7_1217184588281384970,He aske Ukraine to check out Biden and you threw a drunken hissy fit. You want to protect our elections stop illegals from voting. Stop illegals from being counted on census. Stop the DNC from rigging primaries and elections. Trump is your PRESIDENT,2020-01-14
TWITTER_2_1217167508853137408,"So Delaware is included in the ""South"" region as defined by the Census Bureau. Does this make Joe Biden a Southern Democrat?",2020-01-14
TWITTER_8_1217503993875877888,But then Biden believes that being a perpetual also ran is his key. And for everyone whiteness is gold. Personally I said I was white on the last census and it didnt change my life as I had hoped. Only white...,2020-01-15
TWITTER_7_1218058975926804480,"Our rulingBiden said ""there is a very identifiable Somali community"" back home in Delaware. If so, it's minuscule: The Census Bureau estimates that theres only Somali people living in Delaware. Bidens statement is inaccurate and ridiculous. Pants on Fire!",2020-01-17
TWITTER_7_1219278199798091781,"It was cos of Obama - NOT Biden. And in so many ppl felt so disillusioned by what was supposed to have been the hope and change thing that they didn't come out and vote in the census year, thereby screwing things up for eternity",2020-01-20
TWITTER_7_1219689903287500800,"Commie Tax Everything Islamocrats Botox Nancy, Schiffhole Nadhole etc are Covering Up for Corrupt Senile Biden/Obama and cokehead Hunter. Why didn't they get the witnesses before impeaching? That is their job not the Senate's jobInvestigate Botox Pelosi Schiffhole Nadhole etc",2020-01-21
TWITTER_7_1219639388205916168,By whom? The Bidens. Aren't you even curious about the corruption and laundering of money by the Bidens. Get witnesses and Biden will be sunk and the president will still be exonerated! Will Laugh My A-- Off!!! That will be Poetic Justice. Still getting Old Joe for corruption.,2020-01-21
TWITTER_7_1219636950669373440,"If there are witnesses we will get Joe Biden's son in there too, which will infuriate him and he will lose it on the campaign trail you watch. Not only that we will have a avenue to start a investigation into all the corruption they are involved in! Be careful what you wish for!!",2020-01-21
TWITTER_8_1220166386200109058,All this in a census year. It'll be REDMAP if Biden gets the Democratic nomination.We'll get results like this again- for a whole decade.,2020-01-22
TWITTER_7_1220082028353413120,"The poll found that percent of voters would choose Sanders and percent Trump, giving the veteran senator a nine-point lead. Next was former vice president Joe Biden at percent to Trump's percent, a seven-point lead.",2020-01-22
TWITTER_7_1220251312383643648,Honor the Oath of Office you took Senator to protect our Constitution.Trump told the Ukraine President he could have their Congress approved Military aid AFTER he made up a bogus Investigation on Biden AND announced it on,2020-01-23
TWITTER_8_1220863966064324611,% of Americans are age -44 (per census). This is the group that will very likely NOT vote for Biden if nominated. If you think you can win this without more than a third of Americans youre .,2020-01-24
TWITTER_4_1220820295054974976,Joe Biden Barack Obama Need I say more? InvestigateHell Yes!,2020-01-24
TWITTER_7_1220793227097378816,"ABC & Washington Post? Call Adam Schiff the Russia Expert. Joe Biden the Ukraine Expert. We shouldn't be spending billions on Foreign Aid until the US border is secured. million illegal aliens that actually impact National Security, US elections & the US Census negatively.",2020-01-24
TWITTER_8_1222002681738338305,This latest ploy by DJT was to send his lawyers onto the Senate floor and cast doubt on Joe Biden! Done he sullied he waters of the census even though he lost the law suit done hes a sly devil rotten to the core,2020-01-27
TWITTER_2_1221933339692630018,"Impeach and prosecute for war crimes too two - both - all of 'emDroning civilians assassinating leaders in other people's countries, persecuting journalist who report on war crimes & financial corruption.. - seems wrong to meRemove Biden & Trump from the ballotNocensus",2020-01-27
TWITTER_4_1221915603415588865,"Pam Bondi: So Hunter Biden was making over $83,000 a month, while the average American family of four during that time each year was making less than $54,000 and thats according to the US Census Bureau at that time.",2020-01-27
TWITTER_4_1222008883364888576,... totally deceiving the American people. I saw on He had complete International Census from many governments even his own to do what he did. Everyone agreed that the Corruption had to end & there was no active investigation into Hunter Biden. He didn't ...,2020-01-28
TWITTER_7_1222203036363157504,"If DNC chooses a bad top of ticket (i.e. Biden), they can say goodbye to state ledges, no chance of senate, possibly lose the house, and all in a census year, guaranteeing REDMAP .",2020-01-28
TWITTER_7_1222179901484064768,"No experience -Hunter Biden's employment with Ukrainian Burisma Holdings, is paid over $83,000 a month, while the average American family of four during that time, each year, made less than $54,000, and that's according to U.S. Census Bureau during that time,Write about that !",2020-01-28
TWITTER_7_1222657360075771905,"You, Biden, are beyond despicable on many levels. I can show you on my own ancestral census document that those questions were asked. You cant go to Canada to this day that you dont have to show answers to those two questions to become a citizen of Canada.",2020-01-29
TWITTER_7_1222530912535154688,"What is Biden's region, anyway? (I know the Census puts Delaware in the South, but it's, um, not.)",2020-01-29
TWITTER_7_1223066802848067589,"Its not my numbers its census and voter data. Bernie dominates with -29s. Hes basically tied with -44s. But hes WAY behind with both -64s and +.Unfortunately, for Bernie, not only are Bidens groups bigger, but they also vote at higher rates.",2020-01-30
TWITTER_7_1224111547259281412,"If we assume the last Census' % non-POC applies, here's the revised numbers. Black | Hispanic POC | Other | TotalBiden: % % % %Sanders:13% % % %",2020-02-02
TWITTER_7_1224538557618053120,Looks like the DNC is trying to make Biden win again.,2020-02-03
TWITTER_4_1224420337099640837,Is China Ready to Payroll the Biden,2020-02-03
