UniversalMessageId,Message,Day
TWITTER_8_1212463487022059520,"New York is expected to lose a House seat after the census, and AOC might be the odd man out, as her district is expected to be redrawn. . By the way, residents in AOC's district are over % illegal",2020-01-01
TWITTER_8_1212463480680386561,"Wake up America! You work hard your entire life & play by the rules to pay Illegals (each) thousands in monthly welfare payments! They dont pay into the system, but are draining it!Census says over MILLION illegals in U.S.://",2020-01-01
TWITTER_8_1212460745927081989,Imagine what would happen if you could get the illegals discounted from the Census for representation? California and New York would be devastated at least wraps between the two of them,2020-01-01
TWITTER_8_1212460700049780737,This is scary. Here's your foreign interference in our election with Dems using illegals to change demographics of electoral map via the census they shouldn't have been included in.Ironic how Dems use illegals to try & change into the socialist nations the illegals fled from,2020-01-01
TWITTER_8_1212460253499011073,The Census will confirm the real number of illegals in the US. The estimated of illegals can as high as -35 million or times as much the official of Mil. This means Sanctuary cities that have high of illegals will be losing congressional seats & Fed funding.,2020-01-01
TWITTER_8_1212460186507460608,No wonder Democrats fought so hard to keep citizenship off the census and to rush in illegals.,2020-01-01
TWITTER_2_1212459975731109888,"""This has been on AOCs radar, and in August she began encouraging her constituents (25% of which are illegal aliens) to partake in the Census. As a poll conducted by Quinnipiac found, she polls at a net negative.",2020-01-01
TWITTER_7_1212459905472516101,"Yeah, count the millions of illegals that democrats are hoping will vote.",2020-01-01
TWITTER_7_1212459856126447616,Fix the census and maybe we can talk. It's not fair that states with high levels of illegal immigrants get higher proportions of representation.,2020-01-01
TWITTER_8_1212459522448592896,We must demand that the Citizensship question be reinstalled in the Census. Without it illegal immigrants are shaping Congressional districts in favor of Democrats. Illegal immigrants are cancelling out our Citizens.,2020-01-01
TWITTER_7_1212456555133587456,"Lets tell it like it is..Illegal immigrants should be required to declare on the Census, as they are not guaranteed the right to representation. This is a Dem ploy to bring illegals in and redistrict to Dem strongholds. And what do you think providing DLs to them does? Dem VOTER",2020-01-01
TWITTER_8_1212456489522122752,"Illegals are now counted as citizens in Census. As designed by Democrats no matter how many citizens flee, NY & Ca. will gain congressional seats.",2020-01-01
TWITTER_7_1212456348840890368,Barr has already said they will correlate the census data with other state and national data sources to cull out illegals.,2020-01-01
TWITTER_2_1212456062298648576,"California exodus could lead to state losing congressional seat, census estimates find simple fix. Remove gov n a bunch mayors. Oh n congress reps. Don't support illegals b4 citizens. Stop paying officials $ they don't deserve",2020-01-01
TWITTER_2_1212455943511904258,All of USA will be redistricted after census. Estimated counting illegal & legal immigrants will flip states from red to blue and also change Electoral College. The radical Dems & Soros are always working a plan. I don't know what conservatives do but HOPE for best.,2020-01-01
TWITTER_8_1212454191446155266,"It's not for lack of trying.CA Democrats have tried to game the apportionment system by tempting illegal immigrants with ""sanctuary,"" drivers licenses, free education for their children, and now taxpayer-funded healthcare. is coming soon.",2020-01-01
TWITTER_7_1212453533573738496,Free healthcare care for illegal aliens. There can be no voter ID so those same illegal aliens can vote in the upcoming election. There can be no citizenship question on the census so Dems congressional power can grow by counting them as citizens. Stop building the wall,2020-01-01
TWITTER_8_1212450359588745216,Exactly and they actually see it as fair and just that the Census not have any way to differentiate between legal citizens and illegals.,2020-01-01
TWITTER_7_1212448916848947200,Thats why liberal CA leadership want open boarders...illegals to vote (albeit illegal) in the elections. They also want the illegals to be counted in the census to retain and maybe even increase seats in the House!,2020-01-01
